scientific,english,common,Order,Family,ID,feeding guild,May,July,names.phylo
Buteo Brachyurus,Short-tailed Hawk,Aguililla Cola Corta,Accipitriformes,Accipitridae,BUBR,CA,x,,Buteo brachyurus
Buteo magnirostris,Roadside Hawk,Aguililla Caminera,Accipitriformes,Accipitridae,BUMA,CA,x,,Buteo magnirostris
Herpetotheres cachinnansÊ,Laughing Falcon,Halc—n Guaco,Falconiformes,Falconidae,HECA,CA,x,,Herpetotheres cachinnans
Glaucidium brasilianum,Ferruginous Pygmy Owl,Tecolote Baje–o,Strigiformes,Strigidae,GLBR,CA,x,,Glaucidium brasilianum
Tyto alba,Barn Owl,Lechuza de Campanario,Strigiformes,Tytonidae,TYAL,CA,x,,Tyto alba
Rostrhamus sociabilis,Snail Kite,Gavilan Caracolero,,,ROSO,CA,,x,Rostrhamus sociabilis
Columbina passerina,Common Ground-Dove,T—rtola Coquita,Columbiformes,Columbidae,COPA,FR,x,,Columbina passerina
Leptotila verreauxi,White Tipped Dove,Paloma Arroyera,Columbiformes,Columbidae,LEVE,FR,x,,Leptotila verreauxi
Patagioenas flavirostris,Red Billed Pigeon,Paloma Morada,Columbiformes,Columbidae,PAFL,FR,x,,Patagioenas flavirostris
Zenaida asiatica,White Winged Dove,Palmoa Ala Blanca,Columbiformes,Columbidae,ZEAS,FR,x,,Zenaida asiatica
Euphonia affinis,Scrub Euphonia,Eufonia Garganta Negra,Passeriformes,Fringilidae,EUAF,FR,x,,Euphonia affinis
Trogon melanocephalus,Black Headed Trogon,Trog—n Cabeza Negra,Trogoniformes,Trogonidae,TRME,FR,x,,Trogon melanocephalus
Columbina talpacoti,,,,,COTA,FR,,x,Columbina talpacoti
Aratinga nana,Olive-throated Parakeet,Perico Pecho Sucio,,,ARNA,FR,,x,Eupsittula nana
Arremonops rufivirgatus,Olive Sparrow,Rascador Oliv‡ceo,Passeriformes,Emberizidae,ARRU,GR,x,,Arremonops rufivirgatus
Dactylortyx thoracicusÊ,Singing Quail,Codorniz Silbadora,Galliformes,Odontophoridae,DATH,GR,x,,Dactylortyx thoracicus
Antrostomus badiusÊ,Yucutan Nightjar,Tapacamino huil,Caprimulgiformes,Caprimulgidae,ANBA,IN,x,,Antrostomus badius
Chordeiles acutipennisÊ,Lesser Nighthawk,Chotacabras Menor,Caprimulgiformes,Caprimulgidae,CHAC,IN,x,,Chordeiles acutipennis
Nyctidromus albicollis,Common Pauraque,Chotacabras Pauraque,Caprimulgiformes,Caprimulgidae,NYAL,IN,x,,Nyctidromus albicollis
Passerina caerulea,Blue Grosbeak,Picogordo Azul,Passeriformes,Cardinalidae,PACA,IN,x,,Passerina caerulea
Pheucticus ludovicianusÊ,Rose Breasted Grosbeak,Picogordo Pecho Rosa,Passeriformes,Cardinalidae,PHLU,IN,x,,Pheucticus ludovicianus
Piaya cayana,Squirrel Cuckoo,Cuclillo Canela,Cuculiformes,Cuculidae,PICA,IN,x,,Piaya cayana
Hirundo rustica,Barn Swallow,Golondrina Tijereta,Passeriformes,Hirundinidae,HIRU,FL,x,,Hirundo rustica
Dives dives,Melodious Blackbird,Tordo Cantor,Passeriformes,Icteridae,DIDI,IN,x,,Dives dives
Icterus gularis,Altamira Oriole,Bolsero de Altamira,Passeriformes,Icteridae,ICGU,IN,x,,Icterus gularis
Icterus spurius,Orchard Oriole,Bolsero Casta–o,Passeriformes,Icteridae,ICSP,IN,x,,Icterus spurius
Saltator atriceps,Black Headed Saltator,Picurero Cabeza Negra,Passeriformes,Incertae sedis,SAAT,IN,x,,Saltator atriceps
Eumomota superciliosa,Turquoise-browed Motmot,Momoto Ceja Azul,Coraciiformes,Momotidae,EUSU,IN,x,,Eumomota superciliosa
Momotus momota,Blue Crowned Motmot,Momoto Corona Azul,Coraciiformes,Momotidae,MOMO,IN,x,,Momotus momota
Colinus nigrogularis,Black-throated Bobwhite,Codorniz Yucateca,Galliformes,Odontophoridae,CONI,IN,x,,Colinus nigrogularis
Geothlypis poliocephala,Grey Crowned Yellowthroat,Mascarita Pico Grueso,Passeriformes,Parulidae,GEPO,IN,x,,Geothlypis poliocephala
Mniotilta varia,Black and White Warbler,Chipe Trepador,Passeriformes,Parulidae,MNVA,IN,x,,Mniotilta varia
Seiurus aurocapillaÊ,Ovenbird,Chipe Suelero,Passeriformes,Parulidae,SEAU,IN,x,,Seiurus aurocapilla
Setophaga americana,Northern Parula,Parula norte–a,Passeriformes,Parulidae,SEAM,IN,x,,Setophaga americana
Setophaga citrina,Hooded Warbler,Chipe encapuchado,Passeriformes,Parulidae,SECI,IN,x,,Setophaga citrina
Setophaga dominica,Yellow Throated Warbler,Chipe Garganta Amarilla,Passeriformes,Parulidae,SEDO,IN,x,X,Setophaga dominica
Setophaga magnolia,Magnolia Warbler,Chipe de Magnolia,Passeriformes,Parulidae,SEMA,IN,x,,Setophaga magnolia
Vermivora cyanoptera,Gold-winged Warbler,Chipe ala azul,Passeriformes,Parulidae,VECY,IN,x,,Vermivora
Melanerpes aurifrons,Golden Fronted Woodpecker,Carpintero Cheje,Piciformes,Picidae,MEAU,IN,x,,Melanerpes aurifrons
Melanerpes pygmaeus,Yucutan Woodpecker,Carpintero Yucateco,Piciformes,Picidae,MEPY,IN,x,,Melanerpes pygmaeus
Polioptila caerulea,Blue-grey Gnatcatcher,Perlita Azulgris,Passeriformes,Polioptilidae,POCA,IN,x,,Polioptila caerulea
Thamnophilus doliatus,Barred Antshrike,Batar‡ Barrado,Passeriformes,Thamnophilidae,THDO,IN,x,,Thamnophilus doliatus
Pheugopedius maculipectus,Spot Breasted Wren,Chivir’n moteado,Passeriformes,Troglodytidae,PHMA,IN,x,,Thryothoruss maculipectus
Camptostoma imberbe,Northern Beardless Tyrannulet,Mosquero Lampi–o,Passeriformes,Tyrannidae,CAIM,FL,x,,Camptostoma imberbe
Empidonax minimus,Least flycatcher,Mosquero M’mimo,Passeriformes,Tyrannidae,EMMI,FL,x,,Empidonax minimus
Megarynchus pitangua,Boat Billed Flycatcher,Luis Pico Grueso,Passeriformes,Tyrannidae,MEPI,FL,x,,Megarynchus pitangua
Myiarchus tuberculifer,Dusky Capped Flycatcher,Papamoscas Triste,Passeriformes,Tyrannidae,MYTU,FL,x,,Myiarchus tuberculifer
Myiozetetes similis,Social Flycatcher,Luis Gregario,Passeriformes,Tyrannidae,MYSI,FL,x,,Myiozetetes similis
Tolmomyias sulphurescens,Yellow Olive Flycatcher,Mosquero Ojo Blanco,Passeriformes,Tyrannidae,TOSU,FL,x,,Tolmomyias sulphurescens
Tyrannus couchii,Couch's Kingbird,Tirano Silbador,Passeriformes,Tyrannidae,TYCO,FL,x,,Tyrannus couchii
Tyrannus melancholicus,Tropical Kingbird,Tirano Tropical,Passeriformes,Tyrannidae,TYME,FL,x,,Tyrannus melancholicus
Pachyramphus aglaiae,Rose Throated Becard,Mosquero Cabez—n Degollado,Passeriformes,Tytiridae,PAAG,IN,x,,Pachyramphus aglaiae
Cyclarhis gujanensisÊ,Rufous-browed Peppershrike,Vire—n Ceja Rufa,Passeriformes,Vireonidae,CYGU,IN,x,,Cyclarhis gujanensis
Vireo flavifrons,Yellow-throated Vireo,Vireo Garganta Amarilla,Passeriformes,Vireonidae,VIFL,IN,x,,Vireo flavifrons
Vireo griseus,White Eyed Vireo,Vireo Ojo Blanco,Passeriformes,Vireonidae,VIGR,IN,x,,Vireo griseus
Vireo pallens,Mangrove Vireo,Vireo Mangiero,Passeriformes,Vireonidae,VIPA,IN,x,,Vireo pallens
Contopus cinereus,Tropical Pewee,Papamoscas Tropical,,,COCI,IN,,x,Contopus cinereus
Cyanocompsa parellina,Blue Bunting,Colorin Azulnergo,,,CYPA,IN,,x,Cyanocompsa parellina
carpintero cabeza rojo,,,,,MEER,IN,,,Melanerpes pygmaeus
Myiarchus tyrannulus,Brown-crested Flycatcher,Papamoscas Briton,,,MYTY,FL,,x,Myiarchus tyrannulus
Myiarchus yucatanenses,Yucatan Flycatcher,Papamoscas Yucateco,,,MYYU,FL,,X,Myiarchus yucatanensis
Pachyramphus major,Gray-collared Becard,Cabezon Mexicano,,,PAMA,IN,,x,Pachyramphus major
Pitangus sulphuratus,Great Kiskadee,Luis Bienteveo,,,PISU,FL,,x,Pitangus sulphuratus
Saltator coerulescens,Greyish Saltator,Saltador Chucho Paez,,,SACO,IN,,x,Saltator coerulescens
Tiaris olivaceus,Yellow-faced Grassquit,Semillero Olivaceo,,,TIOL,IN,,x,Tiaris olivaceus
Uropsila leucogastra,White-bellied Wren,Saltapared Vientre Blanco,,,URLE,IN,,x,Uropsila leucogastra
,UNKNOWN WARBLER,,,,CH X,IN,,x,
,UNKNOWN FLYCATCHER,,,,FC X,FL,,x,
Amazilia rutila,Cinnamon Hummingbird,Colibr’ Canela,Apodiformes,Trochilidae,AMRU,NE,x,,Amazilia rutila
Campylopterus curvipennis,Wedge-tailed Sabrewing,Fandanguero Cola Cu–a,Apodiformes,Trochilidae,CACU,NE,x,,Campylopterus curvipennis
,UNKNWN HUMMINGBIRD,,,,HB X,NE,,x,
Cyanocorax yncas,Green Jay,Chara Verde,Passeriformes,Corvidae,CYYN,OM,x,,Cyanocorax yncas
Cyanocorax yucatanicus,Yucutan Jay,Chara Yucateca,Passeriformes,Corvidae,CYYU,OM,x,,Cyanocorax yucatanicus
Ortalis vetula,Plain Chachalaca,Chachalaca vetula,Galliformes,Cracidae,ORVE,OM,x,,Ortalis vetula
Geococcyx veloxÊ,Lesser Roadrunner,Correcaminos Tropical,Cuculiformes,Cuculidae,GEVE,OM,x,,Geococcyx velox
Melanoptila glabirostris,Black Catbird,Maullador Negro,Passeriformes,Mimidae,MEGL,OM,x,,Melanoptila glabrirostris
Turdus grayi,Clay Colored Thrush,Mirio Pardo,Passeriformes,Turdidae,TUGR,OM,x,,Turdus grayi
Quiscalus mexicanus,Great-tailed Grackle,Zanate Mayor,,,QUIM,OM,,x,Quiscalus mexicanus
,UNKNOWN,,,,XX,X,,x,
