scientific,english,spanish,Order,Family,ID,feeding guild,May,July,names.phylo
Buteo Brachyurus,Short-tailed Hawk,Aguililla Cola Corta,Accipitriformes,Accipitridae,BUBR,CA,x,,Buteo brachyurus
Buteo magnirostris,Roadside Hawk,Aguililla Caminera,Accipitriformes,Accipitridae,BUMA,CA,x,,Buteo magnirostris
Rostrhamus sociabilis,Snail Kite,Gavilan Caracolero,Accipitriformes,Accipitridae,ROSO,CA,,x,Rostrhamus sociabilis
Antrostomus badius¾,Yucutan Nightjar,Tapacamino huil,Caprimulgiformes,Caprimulgidae,ANBA,IN,x,,Antrostomus badius
Chordeiles acutipennis¾,Lesser Nighthawk,Chotacabras Menor,Caprimulgiformes,Caprimulgidae,CHAC,IN,x,,Chordeiles acutipennis
Nyctidromus albicollis,Common Pauraque,Chotacabras Pauraque,Caprimulgiformes,Caprimulgidae,NYAL,IN,x,,Nyctidromus albicollis
Cyanocompsa parellina,Blue Bunting,Colorin Azulnergo,Passeriformes,Cardinalidae,CYPA,IN,,x,Cyanocompsa parellina
Passerina caerulea,Blue Grosbeak,Picogordo Azul,Passeriformes,Cardinalidae,PACA,IN,x,,Passerina caerulea
Pheucticus ludovicianus¾,Rose Breasted Grosbeak,Picogordo Pecho Rosa,Passeriformes,Cardinalidae,PHLU,IN,x,,Pheucticus ludovicianus
Columbina passerina,Common Ground-Dove,T„rtola Coquita,Columbiformes,Columbidae,COPA,FR,x,,Columbina passerina
Columbina talpacoti,ruddy ground dove,,Columbiformes,Columbidae,COTA,FR,,x,Columbina talpacoti
Leptotila verreauxi,White Tipped Dove,Paloma Arroyera,Columbiformes,Columbidae,LEVE,FR,x,,Leptotila verreauxi
Patagioenas flavirostris,Red Billed Pigeon,Paloma Morada,Columbiformes,Columbidae,PAFL,FR,x,,Patagioenas flavirostris
Zenaida asiatica,White Winged Dove,Palmoa Ala Blanca,Columbiformes,Columbidae,ZEAS,FR,x,,Zenaida asiatica
Cyanocorax yncas,Green Jay,Chara Verde,Passeriformes,Corvidae,CYYN,OM,x,,Cyanocorax yncas
Cyanocorax yucatanicus,Yucutan Jay,Chara Yucateca,Passeriformes,Corvidae,CYYU,OM,x,,Cyanocorax yucatanicus
Quiscalus mexicanus,Great-tailed Grackle,Zanate Mayor,Passeriformes,Corvidae,QUIM,OM,,x,Quiscalus mexicanus
Ortalis vetula,Plain Chachalaca,Chachalaca vetula,Galliformes,Cracidae,ORVE,OM,x,,Ortalis vetula
Geococcyx velox¾,Lesser Roadrunner,Correcaminos Tropical,Cuculiformes,Cuculidae,GEVE,OM,x,,Geococcyx velox
Piaya cayana,Squirrel Cuckoo,Cuclillo Canela,Cuculiformes,Cuculidae,PICA,IN,x,,Piaya cayana
Arremonops rufivirgatus,Olive Sparrow,Rascador Olivˆceo,Passeriformes,Emberizidae,ARRU,GR,x,,Arremonops rufivirgatus
Herpetotheres cachinnans¾,Laughing Falcon,Halc„n Guaco,Falconiformes,Falconidae,HECA,CA,x,,Herpetotheres cachinnans
Euphonia affinis,Scrub Euphonia,Eufonia Garganta Negra,Passeriformes,Fringilidae,EUAF,FR,x,,Euphonia affinis
Hirundo rustica,Barn Swallow,Golondrina Tijereta,Passeriformes,Hirundinidae,HIRU,FL,x,,Hirundo rustica
Dives dives,Melodious Blackbird,Tordo Cantor,Passeriformes,Icteridae,DIDI,IN,x,,Dives dives
Icterus gularis,Altamira Oriole,Bolsero de Altamira,Passeriformes,Icteridae,ICGU,IN,x,,Icterus gularis
Icterus spurius,Orchard Oriole,Bolsero Casta_o,Passeriformes,Icteridae,ICSP,IN,x,,Icterus spurius
Saltator atriceps,Black Headed Saltator,Picurero Cabeza Negra,Passeriformes,Thraupidae,SAAT,IN,x,,Saltator atriceps
Melanoptila glabirostris,Black Catbird,Maullador Negro,Passeriformes,Mimidae,MEGL,OM,x,,Melanoptila glabrirostris
Eumomota superciliosa,Turquoise-browed Motmot,Momoto Ceja Azul,Coraciiformes,Momotidae,EUSU,IN,x,,Eumomota superciliosa
Momotus momota,Blue Crowned Motmot,Momoto Corona Azul,Coraciiformes,Momotidae,MOMO,IN,x,,Momotus momota
Colinus nigrogularis,Black-throated Bobwhite,Codorniz Yucateca,Galliformes,Odontophoridae,CONI,IN,x,,Colinus nigrogularis
Dactylortyx thoracicus¾,Singing Quail,Codorniz Silbadora,Galliformes,Odontophoridae,DATH,GR,x,,Dactylortyx thoracicus
,UNKNOWN WARBLER,,Passeriformes,Parulidae,CH.X,IN,,x,
Geothlypis poliocephala,Grey Crowned Yellowthroat,Mascarita Pico Grueso,Passeriformes,Parulidae,GEPO,IN,x,,Geothlypis poliocephala
Mniotilta varia,Black and White Warbler,Chipe Trepador,Passeriformes,Parulidae,MNVA,IN,x,,Mniotilta varia
Setophaga americana,Northern Parula,Parula norte_a,Passeriformes,Parulidae,SEAM,IN,x,,Setophaga americana
Seiurus aurocapilla¾,Ovenbird,Chipe Suelero,Passeriformes,Parulidae,SEAU,IN,x,,Seiurus aurocapilla
Setophaga citrina,Hooded Warbler,Chipe encapuchado,Passeriformes,Parulidae,SECI,IN,x,,Setophaga citrina
Setophaga dominica,Yellow Throated Warbler,Chipe Garganta Amarilla,Passeriformes,Parulidae,SEDO,IN,x,X,Setophaga dominica
Setophaga magnolia,Magnolia Warbler,Chipe de Magnolia,Passeriformes,Parulidae,SEMA,IN,x,,Setophaga magnolia
Vermivora cyanoptera,Gold-winged Warbler,Chipe ala azul,Passeriformes,Parulidae,VECY,IN,x,,Vermivora
Melanerpes aurifrons,Golden Fronted Woodpecker,Carpintero Cheje,Piciformes,Picidae,MEAU,IN,x,,Melanerpes aurifrons
carpintero cabeza rojo,,,Piciformes,Picidae,MEER,IN,,,Melanerpes pygmaeus
Melanerpes pygmaeus,Yucutan Woodpecker,Carpintero Yucateco,Piciformes,Picidae,MEPY,IN,x,,Melanerpes pygmaeus
Polioptila caerulea,Blue-grey Gnatcatcher,Perlita Azulgris,Passeriformes,Polioptilidae,POCA,IN,x,,Polioptila caerulea
Aratinga nana,Olive-throated Parakeet,Perico Pecho Sucio,Psittaciformes,Psittacidae ,ARNA,FR,,x,Eupsittula nana
Glaucidium brasilianum,Ferruginous Pygmy Owl,Tecolote Baje_o,Strigiformes,Strigidae,GLBR,CA,x,,Glaucidium brasilianum
Thamnophilus doliatus,Barred Antshrike,Batarˆ Barrado,Passeriformes,Thamnophilidae,THDO,IN,x,,Thamnophilus doliatus
Saltator coerulescens,Greyish Saltator,Saltador Chucho Paez,Passeriformes,Thraupidae,SACO,IN,,x,Saltator coerulescens
Tiaris olivaceus,Yellow-faced Grassquit,Semillero Olivaceo,Passeriformes,Thraupidae,TIOL,IN,,x,Tiaris olivaceus
Amazilia rutila,Cinnamon Hummingbird,ColibrÍ Canela,Apodiformes,Trochilidae,AMRU,NE,x,,Amazilia rutila
Campylopterus curvipennis,Wedge-tailed Sabrewing,Fandanguero Cola Cu_a,Apodiformes,Trochilidae,CACU,NE,x,,Campylopterus curvipennis
,UNKNWN HUMMINGBIRD,,Apodiformes,Trochilidae,HB.X,NE,,x,
Pheugopedius maculipectus,Spot Breasted Wren,ChivirÍn moteado,Passeriformes,Troglodytidae,PHMA,IN,x,,Thryothoruss maculipectus
Uropsila leucogastra,White-bellied Wren,Saltapared Vientre Blanco,,Troglodytidae,URLE,IN,,x,Uropsila leucogastra
Trogon melanocephalus,Black Headed Trogon,Trog„n Cabeza Negra,Trogoniformes,Trogonidae,TRME,FR,x,,Trogon melanocephalus
Turdus grayi,Clay Colored Thrush,Mirio Pardo,Passeriformes,Turdidae,TUGR,OM,x,,Turdus grayi
Camptostoma imberbe,Northern Beardless Tyrannulet,Mosquero Lampi_o,Passeriformes,Tyrannidae,CAIM,FL,x,,Camptostoma imberbe
Contopus cinereus,Tropical Pewee,Papamoscas Tropical,Passeriformes,Tyrannidae,COCI,IN,,x,Contopus cinereus
Empidonax minimus,Least flycatcher,Mosquero MÍmimo,Passeriformes,Tyrannidae,EMMI,FL,x,,Empidonax minimus
,UNKNOWN FLYCATCHER,,Passeriformes,Tyrannidae,FC.X,FL,,x,
Megarynchus pitangua,Boat Billed Flycatcher,Luis Pico Grueso,Passeriformes,Tyrannidae,MEPI,FL,x,,Megarynchus pitangua
Myiozetetes similis,Social Flycatcher,Luis Gregario,Passeriformes,Tyrannidae,MYSI,FL,x,,Myiozetetes similis
Myiarchus tuberculifer,Dusky Capped Flycatcher,Papamoscas Triste,Passeriformes,Tyrannidae,MYTU,FL,x,,Myiarchus tuberculifer
Myiarchus tyrannulus,Brown-crested Flycatcher,Papamoscas Briton,Passeriformes,Tyrannidae,MYTY,FL,,x,Myiarchus tyrannulus
Myiarchus yucatanenses,Yucatan Flycatcher,Papamoscas Yucateco,Passeriformes,Tyrannidae,MYYU,FL,,X,Myiarchus yucatanensis
Pitangus sulphuratus,Great Kiskadee,Luis Bienteveo,Passeriformes,Tyrannidae,PISU,FL,,x,Pitangus sulphuratus
Tolmomyias sulphurescens,Yellow Olive Flycatcher,Mosquero Ojo Blanco,Passeriformes,Tyrannidae,TOSU,FL,x,,Tolmomyias sulphurescens
Tyrannus couchii,Couch's Kingbird,Tirano Silbador,Passeriformes,Tyrannidae,TYCO,FL,x,,Tyrannus couchii
Tyrannus melancholicus,Tropical Kingbird,Tirano Tropical,Passeriformes,Tyrannidae,TYME,FL,x,,Tyrannus melancholicus
Pachyramphus aglaiae,Rose Throated Becard,Mosquero Cabez„n Degollado,Passeriformes,Tytiridae,PAAG,IN,x,,Pachyramphus aglaiae
Pachyramphus major,Gray-collared Becard,Cabezon Mexicano,Passeriformes,Tytiridae,PAMA,IN,,x,Pachyramphus major
Tyto alba,Barn Owl,Lechuza de Campanario,Strigiformes,Tytonidae,TYAL,CA,x,,Tyto alba
Cyclarhis gujanensis¾,Rufous-browed Peppershrike,Vire„n Ceja Rufa,Passeriformes,Vireonidae,CYGU,IN,x,,Cyclarhis gujanensis
Vireo flavifrons,Yellow-throated Vireo,Vireo Garganta Amarilla,Passeriformes,Vireonidae,VIFL,IN,x,,Vireo flavifrons
Vireo griseus,White Eyed Vireo,Vireo Ojo Blanco,Passeriformes,Vireonidae,VIGR,IN,x,,Vireo griseus
Vireo pallens,Mangrove Vireo,Vireo Mangiero,Passeriformes,Vireonidae,VIPA,IN,x,,Vireo pallens
,UNKNOWN,,,,XX,X,,x,
