Nombre científico,Nombre en inglés,Nombre común,Order,Family,ID,feeding guild,May,July
Amazilia rutila,Cinnamon Hummingbird,Colibrí Canela,Apodiformes,Trochilidae,AMRU,NE,x,
Antrostomus badius ,Yucutan Nightjar,Tapacamino huil,Caprimulgiformes,Caprimulgidae,ANBA,IN,x,
Aratinga nana,Olive-throated Parakeet,Perico Pecho Sucio,,,ARNA,FR,,x
Arremonops rufivirgatus,Olive Sparrow,Rascador Oliváceo,Passeriformes,Emberizidae,ARRU,GR,x,
Buteo Brachyurus,Short-tailed Hawk,Aguililla Cola Corta,Accipitriformes,Accipitridae,BUBR,CA,x,
Buteo magnirostris,Roadside Hawk,Aguililla Caminera,Accipitriformes,Accipitridae,BUMA,CA,x,
Campylopterus curvipennis,Wedge-tailed Sabrewing,Fandanguero Cola Cuña,Apodiformes,Trochilidae,CACU,NE,x,
Camptostoma imberbe,Northern Beardless Tyrannulet,Mosquero Lampiño,Passeriformes,Tyrannidae,CAIM,IN,x,
Chordeiles acutipennis ,Lesser Nighthawk,Chotacabras Menor,Caprimulgiformes,Caprimulgidae,CHAC,IN,x,
Colinus nigrogularis,Black-throated Bobwhite,Codorniz Yucateca,Galliformes,Odontophoridae,CONI,IN,x,
Columbina passerina,Common Ground-Dove,Tórtola Coquita,Columbiformes,Columbidae,COPA,FR,x,
Cyclarhis gujanensis ,Rufous-browed Peppershrike,Vireón Ceja Rufa,Passeriformes,Vireonidae,CYGU,IN,x,
Cyanocorax yncas,Green Jay,Chara Verde,Passeriformes,Corvidae,CYYN,OM,x,
Cyanocorax yucatanicus,Yucutan Jay,Chara Yucateca,Passeriformes,Corvidae,CYYU,OM,x,
Dactylortyx thoracicus ,Singing Quail,Codorniz Silbadora,Galliformes,Odontophoridae,DATH,GR,x,
Dives dives,Melodious Blackbird,Tordo Cantor,Passeriformes,Icteridae,DIDI,IN,x,
Empidonax minimus,Least flycatcher,Mosquero Mímimo,Passeriformes,Tyrannidae,EMMI,IN,x,
Euphonia affinis,Scrub Euphonia,Eufonia Garganta Negra,Passeriformes,Fringilidae,EUAF,FR,x,
Eumomota superciliosa,Turquoise-browed Motmot,Momoto Ceja Azul,Coraciiformes,Momotidae,EUSU,IN,x,
Geothlypis poliocephala,Grey Crowned Yellowthroat,Mascarita Pico Grueso,Passeriformes,Parulidae,GEPO,IN,x,
Geococcyx velox ,Lesser Roadrunner,Correcaminos Tropical,Cuculiformes,Cuculidae,GEVE,OM,x,
Glaucidium brasilianum,Ferruginous Pygmy Owl,Tecolote Bajeño,Strigiformes,Strigidae,GLBR,CA,x,
Herpetotheres cachinnans ,Laughing Falcon,Halcón Guaco,Falconiformes,Falconidae,HECA,CA,x,
Hirundo rustica,Barn Swallow,Golondrina Tijereta,Passeriformes,Hirundinidae,HIRU,IN,x,
Icterus gularis,Altamira Oriole,Bolsero de Altamira,Passeriformes,Icteridae,ICGU,IN,x,
Icterus spurius,Orchard Oriole,Bolsero Castaño,Passeriformes,Icteridae,ICSP,IN,x,
Leptotila verreauxi,White Tipped Dove,Paloma Arroyera,Columbiformes,Columbidae,LEVE,FR,x,
Melanerpes aurifrons,Golden Fronted Woodpecker,Carpintero Cheje,Piciformes,Picidae,MEAU,IN,x,
Melanoptila glabirostris,Black Catbird,Maullador Negro,Passeriformes,Mimidae,MEGL,OM,x,
Megarynchus pitangua,Boat Billed Flycatcher,Luis Pico Grueso,Passeriformes,Tyrannidae,MEPI,IN,x,
Melanerpes pygmaeus,Yucutan Woodpecker,Carpintero Yucateco,Piciformes,Picidae,MEPY,IN,x,
Mniotilta varia,Black and White Warbler,Chipe Trepador,Passeriformes,Parulidae,MNVA,IN,x,
Momotus momota,Blue Crowned Motmot,Momoto Corona Azul,Coraciiformes,Momotidae,MOMO,IN,x,
Myiozetetes similis,Social Flycatcher,Luis Gregario,Passeriformes,Tyrannidae,MYSI,IN,x,
Myiarchus tyrannulus,Brown-crested Flycatcher,Papamoscas Briton,,,MYTY,IN,,x
Myiarchus tuberculifer,Dusky Capped Flycatcher,Papamoscas Triste,Passeriformes,Tyrannidae,MYTU,IN,x,
Nyctidromus albicollis,Common Pauraque,Chotacabras Pauraque,Caprimulgiformes,Caprimulgidae,NYAL,IN,x,
Ortalis vetula,Plain Chachalaca,Chachalaca vetula,Galliformes,Cracidae,ORVE,OM,x,
Pachyramphus aglaiae,Rose Throated Becard,Mosquero Cabezón Degollado,Passeriformes,Tytiridae,PAAG,IN,x,
Passerina caerulea,Blue Grosbeak,Picogordo Azul,Passeriformes,Cardinalidae,PACA,IN,x,
Patagioenas flavirostris,Red Billed Pigeon,Paloma Morada,Columbiformes,Columbidae,PAFL,FR,x,
Pachyramphus major,Gray-collared Becard,Cabezon Mexicano,,,PAMA,IN,,x
Pheucticus ludovicianus ,Rose Breasted Grosbeak,Picogordo Pecho Rosa,Passeriformes,Cardinalidae,PHLU,IN,x,
Pheugopedius maculipectus,Spot Breasted Wren,Chivirín moteado,Passeriformes,Troglodytidae,PHMA,IN,x,
Piaya cayana,Squirrel Cuckoo,Cuclillo Canela,Cuculiformes,Cuculidae,PICA,IN,x,
Polioptila caerulea,Blue-grey Gnatcatcher,Perlita Azulgris,Passeriformes,Polioptilidae,POCA,IN,x,
Saltator atriceps,Black Headed Saltator,Picurero Cabeza Negra,Passeriformes,Incertae sedis,SAAT,IN,x,
Setophaga americana,Northern Parula,Parula norteña,Passeriformes,Parulidae,SEAM,IN,x,
Seiurus aurocapilla ,Ovenbird,Chipe Suelero,Passeriformes,Parulidae,SEAU,IN,x,
Setophaga citrina,Hooded Warbler,Chipe encapuchado,Passeriformes,Parulidae,SECI,IN,x,
Setophaga dominica,Yellow Throated Warbler,Chipe Garganta Amarilla,Passeriformes,Parulidae,SEDO,IN,x,X
Setophaga magnolia,Magnolia Warbler,Chipe de Magnolia,Passeriformes,Parulidae,SEMA,IN,x,
Thamnophilus doliatus,Barred Antshrike,Batará Barrado,Passeriformes,Thamnophilidae,THDO,IN,x,
Tolmomyias sulphurescens,Yellow Olive Flycatcher,Mosquero Ojo Blanco,Passeriformes,Tyrannidae,TOSU,IN,x,
Trogon melanocephalus,Black Headed Trogon,Trogón Cabeza Negra,Trogoniformes,Trogonidae,TRME,FR,x,
Turdus grayi,Clay Colored Thrush,Mirio Pardo,Passeriformes,Turdidae,TUGR,OM,x,
Tyto alba,Barn Owl,Lechuza de Campanario,Strigiformes,Tytonidae,TYAL,CA,x,
Tyrannus couchii,Couch's Kingbird,Tirano Silbador,Passeriformes,Tyrannidae,TYCO,IN,x,
Tyrannus melancholicus,Tropical Kingbird,Tirano Tropical,Passeriformes,Tyrannidae,TYME,IN,x,
Vermivora cyanoptera,Gold-winged Warbler,Chipe ala azul,Passeriformes,Parulidae,VECY,IN,x,
Vireo flavifrons,Yellow-throated Vireo,Vireo Garganta Amarilla,Passeriformes,Vireonidae,VIFL,IN,x,
Vireo griseus,White Eyed Vireo,Vireo Ojo Blanco,Passeriformes,Vireonidae,VIGR,IN,x,
Vireo pallens,Mangrove Vireo,Vireo Mangiero,Passeriformes,Vireonidae,VIPA,IN,x,
Zenaida asiatica,White Winged Dove,Palmoa Ala Blanca,Columbiformes,Columbidae,ZEAS,FR,x,
,UNKNOWN WARBLER,,,,CH X,IN,,x
,UNKNWN HUMMINGBIRD,,,,HB X,NE,,x
,UNKNOWN,,,,XX,X,,x
,UNKNOWN FLYCATCHER,,,,FC X,IN,,x
Pitangus sulphuratus,Great Kiskadee,Luis Bienteveo,,,PISU,IN,,x
Tiaris olivaceus,Yellow-faced Grassquit,Semillero Olivaceo,,,TIOL,IN,,x
Quiscalus mexicanus,Great-tailed Grackle,Zanate Mayor,,,QUIM,OM,,x
Saltator coerulescens,Greyish Saltator,Saltador Chucho Paez,,,SACO,IN,,x
Rostrhamus sociabilis,Snail Kite,Gavilan Caracolero,,,ROSO,CA,,x
Cyanocompsa parellina,Blue Bunting,Colorin Azulnergo,,,CYPA,IN,,x
Myiarchus yucatanenses,Yucatan Flycatcher,Papamoscas Yucateco,,,MYYU,IN,,X
Contopus cinereus,Tropical Pewee,Papamoscas Tropical,,,COCI,IN,,x
Uropsila leucogastra,White-bellied Wren,Saltapared Vientre Blanco,,,URLE,IN,,x
Columbina talpacoti,,,,,COTA,FR,,x
carpintero cabeza rojo,,,,,MEER,IN,,
