scientific,english,common,Order,Family,ID,feeding guild,May,July,names.phylo
Amazilia rutila,Cinnamon Hummingbird,Colibrí Canela,Apodiformes,Trochilidae,AMRU,NE,x,,Amazilia rutila
Antrostomus badius ,Yucutan Nightjar,Tapacamino huil,Caprimulgiformes,Caprimulgidae,ANBA,IN,x,,Antrostomus badius
Arremonops rufivirgatus,Olive Sparrow,Rascador Oliváceo,Passeriformes,Emberizidae,ARRU,GR,x,,Arremonops rufivirgatus
Buteo Brachyurus,Short-tailed Hawk,Aguililla Cola Corta,Accipitriformes,Accipitridae,BUBR,CA,x,,Buteo brachyurus
Buteo magnirostris,Roadside Hawk,Aguililla Caminera,Accipitriformes,Accipitridae,BUMA,CA,x,,Buteo magnirostris
Camptostoma imberbe,Northern Beardless Tyrannulet,Mosquero Lampiño,Passeriformes,Tyrannidae,CAIM,IN,x,,Camptostoma imberbe
Campylopterus curvipennis,Wedge-tailed Sabrewing,Fandanguero Cola Cuña,Apodiformes,Trochilidae,CACU,NE,x,,Campylopterus curvipennis
Chordeiles acutipennis ,Lesser Nighthawk,Chotacabras Menor,Caprimulgiformes,Caprimulgidae,CHAC,IN,x,,Chordeiles acutipennis
Colinus nigrogularis,Black-throated Bobwhite,Codorniz Yucateca,Galliformes,Odontophoridae,CONI,IN,x,,Colinus nigrogularis
Columbina passerina,Common Ground-Dove,Tórtola Coquita,Columbiformes,Columbidae,COPA,FR,x,,Columbina passerina
Columbina talpacoti,,,,,COTA,FR,,x,Columbina talpacoti
Contopus cinereus,Tropical Pewee,Papamoscas Tropical,,,COCI,IN,,x,Contopus cinereus
Cyanocompsa parellina,Blue Bunting,Colorin Azulnergo,,,CYPA,IN,,x,Cyanocompsa parellina
Cyanocorax yncas,Green Jay,Chara Verde,Passeriformes,Corvidae,CYYN,OM,x,,Cyanocorax yncas
Cyanocorax yucatanicus,Yucutan Jay,Chara Yucateca,Passeriformes,Corvidae,CYYU,OM,x,,Cyanocorax yucatanicus
Cyclarhis gujanensis ,Rufous-browed Peppershrike,Vireón Ceja Rufa,Passeriformes,Vireonidae,CYGU,IN,x,,Cyclarhis gujanensis
Dactylortyx thoracicus ,Singing Quail,Codorniz Silbadora,Galliformes,Odontophoridae,DATH,GR,x,,Dactylortyx thoracicus
Dives dives,Melodious Blackbird,Tordo Cantor,Passeriformes,Icteridae,DIDI,IN,x,,Dives dives
Empidonax minimus,Least flycatcher,Mosquero Mímimo,Passeriformes,Tyrannidae,EMMI,IN,x,,Empidonax minimus
Eumomota superciliosa,Turquoise-browed Motmot,Momoto Ceja Azul,Coraciiformes,Momotidae,EUSU,IN,x,,Eumomota superciliosa
Euphonia affinis,Scrub Euphonia,Eufonia Garganta Negra,Passeriformes,Fringilidae,EUAF,FR,x,,Euphonia affinis
Aratinga nana,Olive-throated Parakeet,Perico Pecho Sucio,,,ARNA,FR,,x,Eupsittula nana
Geococcyx velox ,Lesser Roadrunner,Correcaminos Tropical,Cuculiformes,Cuculidae,GEVE,OM,x,,Geococcyx velox
Geothlypis poliocephala,Grey Crowned Yellowthroat,Mascarita Pico Grueso,Passeriformes,Parulidae,GEPO,IN,x,,Geothlypis poliocephala
Glaucidium brasilianum,Ferruginous Pygmy Owl,Tecolote Bajeño,Strigiformes,Strigidae,GLBR,CA,x,,Glaucidium brasilianum
Herpetotheres cachinnans ,Laughing Falcon,Halcón Guaco,Falconiformes,Falconidae,HECA,CA,x,,Herpetotheres cachinnans
Hirundo rustica,Barn Swallow,Golondrina Tijereta,Passeriformes,Hirundinidae,HIRU,IN,x,,Hirundo rustica
Icterus gularis,Altamira Oriole,Bolsero de Altamira,Passeriformes,Icteridae,ICGU,IN,x,,Icterus gularis
Icterus spurius,Orchard Oriole,Bolsero Castaño,Passeriformes,Icteridae,ICSP,IN,x,,Icterus spurius
Leptotila verreauxi,White Tipped Dove,Paloma Arroyera,Columbiformes,Columbidae,LEVE,FR,x,,Leptotila verreauxi
Megarynchus pitangua,Boat Billed Flycatcher,Luis Pico Grueso,Passeriformes,Tyrannidae,MEPI,IN,x,,Megarynchus pitangua
Melanerpes aurifrons,Golden Fronted Woodpecker,Carpintero Cheje,Piciformes,Picidae,MEAU,IN,x,,Melanerpes aurifrons
Melanerpes pygmaeus,Yucutan Woodpecker,Carpintero Yucateco,Piciformes,Picidae,MEPY,IN,x,,Melanerpes pygmaeus
carpintero cabeza rojo,,,,,MEER,IN,,,Melanerpes pygmaeus
Melanoptila glabirostris,Black Catbird,Maullador Negro,Passeriformes,Mimidae,MEGL,OM,x,,Melanoptila glabrirostris
Mniotilta varia,Black and White Warbler,Chipe Trepador,Passeriformes,Parulidae,MNVA,IN,x,,Mniotilta varia
Momotus momota,Blue Crowned Motmot,Momoto Corona Azul,Coraciiformes,Momotidae,MOMO,IN,x,,Momotus momota
Myiarchus tuberculifer,Dusky Capped Flycatcher,Papamoscas Triste,Passeriformes,Tyrannidae,MYTU,IN,x,,Myiarchus tuberculifer
Myiarchus tyrannulus,Brown-crested Flycatcher,Papamoscas Briton,,,MYTY,IN,,x,Myiarchus tyrannulus
Myiarchus yucatanenses,Yucatan Flycatcher,Papamoscas Yucateco,,,MYYU,IN,,X,Myiarchus yucatanensis
Myiozetetes similis,Social Flycatcher,Luis Gregario,Passeriformes,Tyrannidae,MYSI,IN,x,,Myiozetetes similis
Nyctidromus albicollis,Common Pauraque,Chotacabras Pauraque,Caprimulgiformes,Caprimulgidae,NYAL,IN,x,,Nyctidromus albicollis
Ortalis vetula,Plain Chachalaca,Chachalaca vetula,Galliformes,Cracidae,ORVE,OM,x,,Ortalis vetula
Pachyramphus aglaiae,Rose Throated Becard,Mosquero Cabezón Degollado,Passeriformes,Tytiridae,PAAG,IN,x,,Pachyramphus aglaiae
Pachyramphus major,Gray-collared Becard,Cabezon Mexicano,,,PAMA,IN,,x,Pachyramphus major
Passerina caerulea,Blue Grosbeak,Picogordo Azul,Passeriformes,Cardinalidae,PACA,IN,x,,Passerina caerulea
Patagioenas flavirostris,Red Billed Pigeon,Paloma Morada,Columbiformes,Columbidae,PAFL,FR,x,,Patagioenas flavirostris
Pheucticus ludovicianus ,Rose Breasted Grosbeak,Picogordo Pecho Rosa,Passeriformes,Cardinalidae,PHLU,IN,x,,Pheucticus ludovicianus
Piaya cayana,Squirrel Cuckoo,Cuclillo Canela,Cuculiformes,Cuculidae,PICA,IN,x,,Piaya cayana
Pitangus sulphuratus,Great Kiskadee,Luis Bienteveo,,,PISU,IN,,x,Pitangus sulphuratus
Polioptila caerulea,Blue-grey Gnatcatcher,Perlita Azulgris,Passeriformes,Polioptilidae,POCA,IN,x,,Polioptila caerulea
Quiscalus mexicanus,Great-tailed Grackle,Zanate Mayor,,,QUIM,OM,,x,Quiscalus mexicanus
Rostrhamus sociabilis,Snail Kite,Gavilan Caracolero,,,ROSO,CA,,x,Rostrhamus sociabilis
Saltator atriceps,Black Headed Saltator,Picurero Cabeza Negra,Passeriformes,Incertae sedis,SAAT,IN,x,,Saltator atriceps
Saltator coerulescens,Greyish Saltator,Saltador Chucho Paez,,,SACO,IN,,x,Saltator coerulescens
Seiurus aurocapilla ,Ovenbird,Chipe Suelero,Passeriformes,Parulidae,SEAU,IN,x,,Seiurus aurocapilla
Setophaga americana,Northern Parula,Parula norteña,Passeriformes,Parulidae,SEAM,IN,x,,Setophaga americana
Setophaga citrina,Hooded Warbler,Chipe encapuchado,Passeriformes,Parulidae,SECI,IN,x,,Setophaga citrina
Setophaga dominica,Yellow Throated Warbler,Chipe Garganta Amarilla,Passeriformes,Parulidae,SEDO,IN,x,X,Setophaga dominica
